root cubes at depth 2 (rule (a) only): open=25339 short(stop)=154 total=25493
to run: 150 cubes (0 already journaled; skipped {}; retry=['error'])
[37/150   165.8s] 0,3,2,1;2,4,3,5;0,4,1: verified [cadical] solve=2.5s lrat=53.4MB cake=8.0s cnf_sha=d47cf82edf57
[38/150   168.2s] 0,2,4,5,3,1;1,2;1,4,5,3: verified [cadical] solve=1.5s lrat=35.2MB cake=7.5s cnf_sha=e02fea39e6ae
[39/150   171.2s] 0,1,3,4,2,5;2,3;1,2,5,4: verified [cadical] solve=1.0s lrat=36.2MB cake=7.51s cnf_sha=1cc743813723
[40/150   173.2s] 0,1,5,4,2,3;0,4;0,2,1,5,3: verified [cadical] solve=1.0s lrat=17.4MB cake=6.0s cnf_sha=92518fbc4889
[41/150   177.3s] 0,4,1,5,3,2;0,5;1,5,4,3: verified [cadical] solve=1.5s lrat=38.6MB cake=7.02s cnf_sha=3cfadd31ed74
[42/150   179.1s] 0,2,1,3;1,5,3,4;1,3,2,4: verified [cadical] solve=1.5s lrat=31.6MB cake=6.0s cnf_sha=0fa9b66255ba
[43/150   185.7s] 0,2,1;0,4,1,5,3;0,5,2,1: verified [cadical] solve=1.5s lrat=43.8MB cake=6.51s cnf_sha=8e84cae76d17
[44/150   188.5s] 0,3,1,4,5,2;2,4;0,2,1,4,5: verified [cadical] solve=1.0s lrat=15.9MB cake=8.0s cnf_sha=f50a0db82561
[45/150   198.1s] 0,3,4,2,1;0,4,2;2,5,4: verified [cadical] solve=1.5s lrat=38.6MB cake=10.51s cnf_sha=f144d29992e1
[46/150   200.9s] 0,2,1,3,4;2,5;1,3,4: verified [cadical] solve=12.51s lrat=236.6MB cake=14.51s cnf_sha=9c45da4f9ba9
[47/150   205.9s] 0,1,2,4,5,3;0,5;1,2,3: verified [cadical] solve=5.5s lrat=99.7MB cake=11.5s cnf_sha=d6caad4718fc
[48/150   206.5s] 0,3,1,4,2;1,5,3;1,4,2,3: verified [cadical] solve=1.5s lrat=34.2MB cake=6.51s cnf_sha=996e2675d42f
[49/150   211.3s] 0,4,3,1,2;0,4,5;1,5,2,4: verified [cadical] solve=1.5s lrat=37.0MB cake=8.51s cnf_sha=925845b1bcc7
[50/150   215.7s] 0,1,2;2,4,3;1,3,2,4,5: verified [cadical] solve=2.0s lrat=47.6MB cake=7.51s cnf_sha=43f9f59c214a
[51/150   216.3s] 0,1,4,2,3;3,5,4;0,1,5: verified [cadical] solve=2.0s lrat=48.5MB cake=7.5s cnf_sha=b921744886ed
[52/150   220.7s] 0,5,3,4,2,1;4,5;0,2,1,5,3: verified [cadical] solve=1.0s lrat=17.4MB cake=8.0s cnf_sha=cd5bd3ab5d74
[53/150   223.5s] 0,4,2,1,3;0,1,3;0,4,1,5: verified [cadical] solve=1.0s lrat=17.2MB cake=6.5s cnf_sha=45597dd342f6
[54/150   226.0s] 0,3,1,4,2;1,2;0,5,3,2: verified [cadical] solve=2.0s lrat=51.4MB cake=7.16s cnf_sha=eee42df217c2
[55/150   231.0s] 0,3,5,1,2,4;0,1;0,3,5: verified [cadical] solve=2.0s lrat=58.1MB cake=7.74s cnf_sha=2fe266731abd
[56/150   233.4s] 0,3,1,5,2,4;3,5;0,3,2,1,4,5: verified [cadical] solve=1.0s lrat=15.2MB cake=8.51s cnf_sha=88af7835c449
[57/150   239.8s] 0,3,1,2;2,3,4;0,3,4,5,1: verified [cadical] solve=1.5s lrat=36.6MB cake=7.0s cnf_sha=3e252a51c5ad
[58/150   245.8s] 0,1,2;0,1,3;1,2,3,5,4: verified [cadical] solve=2.5s lrat=52.0MB cake=9.5s cnf_sha=1530742656af
[59/150   249.6s] 0,1,4,2,3;4,5;0,2,4: verified [cadical] solve=9.51s lrat=194.2MB cake=13.5s cnf_sha=d6ce779a5b8b
[60/150   252.6s] 0,4,1,2,3;0,2,5;0,1,2,3,5: verified [cadical] solve=1.0s lrat=16.5MB cake=5.5s cnf_sha=1fc1f54cadb1
[61/150   258.0s] 0,3,5,2,4,1;3,4;0,5,2,4,1: verified [cadical] solve=1.0s lrat=16.6MB cake=7.0s cnf_sha=abd81919e3e6
[62/150   264.4s] 0,3,4,1,2;1,5;2,3,4: verified [cadical] solve=10.51s lrat=195.1MB cake=13.51s cnf_sha=13932d7cff61
[63/150   268.0s] 0,3,4,5,1,2;1,3;0,4,5: verified [cadical] solve=4.0s lrat=107.5MB cake=11.01s cnf_sha=53675b165152
[64/150   268.8s] 0,3,2,1;0,4,2,5;0,3,1,5: verified [cadical] solve=1.0s lrat=36.0MB cake=9.5s cnf_sha=d8f9dc64cac6
[65/150   280.5s] 0,1,2,3;0,1,2,4;0,5: verified [cadical] solve=4.5s lrat=78.7MB cake=11.0s cnf_sha=c01c8bf5a779
[66/150   282.5s] 0,2,1,4,3;4,5;0,4,2,5,1: verified [cadical] solve=1.5s lrat=36.6MB cake=12.51s cnf_sha=96b21af81e4f
[67/150   284.3s] 0,4,2,5,1,3;0,5;2,5,4: verified [cadical] solve=2.0s lrat=52.1MB cake=13.0s cnf_sha=6158df83d3dd
[68/150   290.5s] 0,1,2,4,3;1,5;0,5,4,1,3: verified [cadical] solve=1.5s lrat=39.2MB cake=8.01s cnf_sha=4088e1e3c5ba
[69/150   293.7s] 0,3,1,2,4;1,2,5;0,2,3,1,4: verified [cadical] solve=1.0s lrat=16.0MB cake=8.0s cnf_sha=c11f45c3ec03
[70/150   293.9s] 0,3,1,2,4,5;1,5;0,5,2,4: verified [cadical] solve=1.5s lrat=38.1MB cake=9.5s cnf_sha=e41e2e702bc8
[71/150   297.9s] 0,5,3,2,4,1;0,3;0,2,3,1,5: verified [cadical] solve=1.0s lrat=15.4MB cake=6.01s cnf_sha=bcc84f82516e
[72/150   301.1s] 0,4,3,1,2;0,4,5;0,3,4,2: verified [cadical] solve=1.0s lrat=19.9MB cake=6.0s cnf_sha=8999c374f4e5
[73/150   301.3s] 0,4,2,1,3,5;1,5;0,4,5,2,3,1: verified [cadical] solve=1.0s lrat=15.3MB cake=6.01s cnf_sha=7a706ba56e39
[74/150   309.7s] 0,5,4,1,3,2;0,4;0,1,5,2,4,3: verified [cadical] solve=1.0s lrat=15.3MB cake=7.0s cnf_sha=693a3179eb19
[75/150   313.5s] 0,2,4,3,1;0,2,1;0,4,3: verified [cadical] solve=2.0s lrat=46.8MB cake=10.0s cnf_sha=c2790a9c47d2
[76/150   316.3s] 0,1,3,2;0,4,2,5;3,5: verified [cadical] solve=7.5s lrat=116.6MB cake=10.5s cnf_sha=ace75162debb
[77/150   319.5s] 0,1,2,4,3;1,3;0,5,1,4: verified [cadical] solve=1.5s lrat=40.4MB cake=8.0s cnf_sha=e234a53adeb0
[78/150   322.0s] 0,2,5,3,1,4;0,1;0,5,4,2,3: verified [cadical] solve=1.5s lrat=34.8MB cake=6.5s cnf_sha=df69d9c2a0f1
[79/150   327.2s] 0,4,1,2,3,5;3,4;0,4,1: verified [cadical] solve=2.5s lrat=49.8MB cake=8.0s cnf_sha=8df8beb26cec
[80/150   330.0s] 0,2,4,3,1;0,3;1,3,5,2,4: verified [cadical] solve=1.5s lrat=37.9MB cake=8.5s cnf_sha=671ab8dcaf4b
[81/150   334.0s] 0,2,3,1;1,5,4,2;0,4,1: verified [cadical] solve=2.5s lrat=71.2MB cake=9.0s cnf_sha=a1c0b372719a
[82/150   334.6s] 0,3,5,1,2,4;0,1;0,5,1,2,4: verified [cadical] solve=1.0s lrat=16.4MB cake=6.01s cnf_sha=76d59f49f418
[83/150   339.4s] 0,2,1,3;1,5,3,4;0,2,5,3: verified [cadical] solve=1.5s lrat=38.7MB cake=7.5s cnf_sha=4ae8f5fc3a01
[84/150   341.8s] 0,2,1;0,2,5,4,3;0,2,5,3,1,4: verified [cadical] solve=1.0s lrat=15.6MB cake=6.5s cnf_sha=4b8d421e39ab
[85/150   348.8s] 0,4,2,3,1;3,4;0,4,1,2,5,3: verified [cadical] solve=1.0s lrat=15.3MB cake=8.0s cnf_sha=c1e2375731ee
[86/150   351.6s] 0,3,4,2,1;1,3;1,4,5: verified [cadical] solve=5.5s lrat=118.9MB cake=11.0s cnf_sha=51392c64cdda
[87/150   353.8s] 0,3,1,4,2;0,3,1;0,5,4: verified [cadical] solve=2.0s lrat=45.6MB cake=9.5s cnf_sha=5a5f02628ae9
[88/150   361.9s] 0,2,1;3,4;0,2,4,1,3,5: verified [cadical] solve=3.5s lrat=87.1MB cake=9.0s cnf_sha=90e81e1cbb0e
[89/150   364.1s] 0,3,2,1,4;1,5;1,3,2,4: verified [cadical] solve=2.5s lrat=71.8MB cake=9.5s cnf_sha=1af0937f582e
[90/150   368.7s] 0,1,2;1,4,2,5,3;0,2,1,5,3,4: verified [cadical] solve=1.0s lrat=15.8MB cake=5.51s cnf_sha=f8eba0177bed
[91/150   375.9s] 0,3,1,2;3,5,4;0,5,2: verified [cadical] solve=9.51s lrat=165.6MB cake=12.01s cnf_sha=16064ef53ec6
[92/150   376.9s] 0,2,4,5,1,3;3,4;1,2,4: verified [cadical] solve=2.0s lrat=46.2MB cake=10.5s cnf_sha=e932d8dc3e93
[93/150   380.1s] 0,4,2,1,5,3;0,2;0,1,3,2,5: verified [cadical] solve=1.0s lrat=16.0MB cake=10.02s cnf_sha=66735e202c59
[94/150   384.9s] 0,4,2,3,1;1,5,2;1,4,2,3: verified [cadical] solve=1.5s lrat=34.7MB cake=7.01s cnf_sha=4e068057884c
[95/150   387.9s] 0,1,4,2,3;1,4,3;0,3,1,4,5,2: verified [cadical] solve=1.0s lrat=15.4MB cake=6.5s cnf_sha=8f2de2ef07fa
[96/150   390.9s] 0,1;0,2,4,3;1,2,4,3: verified [cadical] solve=4.5s lrat=97.7MB cake=9.0s cnf_sha=d996f3de7aed
[97/150   393.7s] 0,3,4,1,2,5;0,4;0,1,3,2: verified [cadical] solve=1.51s lrat=38.2MB cake=7.0s cnf_sha=863181632d55
[98/150   395.7s] 0,5,3,2,4,1;0,3;0,5,2,4,3,1: verified [cadical] solve=1.0s lrat=15.3MB cake=6.51s cnf_sha=b0e4973a1e7d
[99/150   400.9s] 0,2,5,4,3,1;1,2;0,1,4: verified [cadical] solve=2.5s lrat=63.2MB cake=7.0s cnf_sha=b33a539baecd
[100/150   403.5s] 0,3,4,2,1;2,5;1,4,5,3,2: verified [cadical] solve=1.5s lrat=36.1MB cake=8.01s cnf_sha=250a2b77f66d
[101/150   404.1s] 0,3,4,2,1;4,5;0,5,3,1,4,2: verified [cadical] solve=1.0s lrat=17.1MB cake=7.0s cnf_sha=bd69faa6e731
[102/150   412.3s] 0,5,4,2,3,1;1,4;2,3,5,4: verified [cadical] solve=1.0s lrat=36.9MB cake=7.5s cnf_sha=c0ae4ca7d637
[103/150   413.9s] 0,1,4,2,5,3;2,3;0,3,1,2,5: verified [cadical] solve=1.0s lrat=15.7MB cake=8.5s cnf_sha=ae35853f2131
[104/150   421.3s] 0,2,4,3,1;0,5;1,4,5: verified [cadical] solve=8.01s lrat=150.4MB cake=12.01s cnf_sha=e1f51e21199a
[105/150   421.3s] 0,1,2,3;2,4,5;0,1,3,4,5: verified [cadical] solve=1.5s lrat=41.9MB cake=7.01s cnf_sha=ca2a1b5f8ca3
[106/150   434.2s] 0,2,3,4,1;1,2,4;1,5,2,3,4: verified [cadical] solve=1.0s lrat=15.2MB cake=11.51s cnf_sha=ec35d6935427
[107/150   435.0s] 0,1,3,2;1,4;0,3,5,4: verified [cadical] solve=7.5s lrat=130.8MB cake=13.01s cnf_sha=e20ff0655735
[108/150   444.0s] 0,2,1;0,2,4,1,3;0,2,1,3,4,5: verified [cadical] solve=1.0s lrat=15.6MB cake=8.51s cnf_sha=f6b5052121ce
[109/150   446.4s] 0,4,2,3,1;0,2,5;0,3,5,4,2,1: verified [cadical] solve=1.0s lrat=15.8MB cake=10.0s cnf_sha=ec3b3264be32
[110/150   458.0s] 0,3,1,2;2,4,5,3;0,4,3,1: verified [cadical] solve=1.5s lrat=40.7MB cake=9.51s cnf_sha=7e995458902f
[111/150   458.4s] 0,5,4,3,2,1;2,5;1,3: verified [cadical] solve=16.01s lrat=269.5MB cake=20.51s cnf_sha=cec35368ed8d
[112/150   467.2s] 0,4,3,1,2;0,4,5;0,4,2,5: verified [cadical] solve=1.0s lrat=16.2MB cake=7.5s cnf_sha=7650216ab461
[113/150   468.6s] 0,4,1,3,2;0,1,5;3,5: verified [cadical] solve=9.51s lrat=171.8MB cake=14.51s cnf_sha=443bbdde8f01
[114/150   478.0s] 0,1,3,2,4;1,3,4;0,4,1,2,5,3: verified [cadical] solve=1.0s lrat=15.4MB cake=8.0s cnf_sha=351b2cf6ef49
[115/150   490.7s] 0,1,2,3,4;2,4;2,5: verified [cadical] solve=13.51s lrat=278.6MB cake=18.51s cnf_sha=a5b21ebc6708
[116/150   490.9s] 0,1,5,4,3,2;1,2;1,3,2,5: verified [cadical] solve=1.0s lrat=17.5MB cake=11.5s cnf_sha=2fda239b32f8
[117/150   505.1s] 0,1,4,3,2;1,4,2;0,1,3,5: verified [cadical] solve=1.0s lrat=34.4MB cake=12.51s cnf_sha=9ca40d50fa6f
[118/150   506.6s] 0,4,5,2,1,3;0,5;2,3: verified [cadical] solve=18.51s lrat=338.4MB cake=20.01s cnf_sha=0f78b9c7f688
[119/150   507.6s] 0,4,2,3,1,5;3,4;0,4,2: verified [cadical] solve=2.0s lrat=44.7MB cake=14.51s cnf_sha=6568a5d1d3fa
[120/150   516.0s] 0,5,3,1,4,2;1,4,2;0,5,3,1,4: verified [cadical] solve=1.0s lrat=15.2MB cake=8.0s cnf_sha=3a25c7c174f5
[121/150   519.0s] 0,3,4,1,2,5;0,4;0,1,2,3: verified [cadical] solve=1.5s lrat=35.0MB cake=9.51s cnf_sha=21d66a4be387
[122/150   522.6s] 0,4,2,1,3;1,5,4;2,4: verified [cadical] solve=6.0s lrat=104.1MB cake=11.01s cnf_sha=88234b0fac65
[123/150   528.0s] 0,2,1,4,3;1,5,3;0,2,3: verified [cadical] solve=2.5s lrat=57.6MB cake=9.0s cnf_sha=8c3f5757bd34
[124/150   528.8s] 0,1,2;0,5,4,3;0,5,3,1,2,4: verified [cadical] solve=1.0s lrat=16.4MB cake=8.5s cnf_sha=89cc99cd9c5a
[125/150   539.0s] 0,2,3,1,5,4;2,5;0,3,4: verified [cadical] solve=5.5s lrat=100.7MB cake=10.51s cnf_sha=bce816bd4d3a
[126/150   541.2s] 0,2,1;0,2,4,1,3;0,1,3,4,5: verified [cadical] solve=1.0s lrat=15.6MB cake=11.0s cnf_sha=bb6b3a3008f3
[127/150   541.8s] 0,1,4,2,3;3,5;0,2,3,4,5: verified [cadical] solve=1.5s lrat=36.1MB cake=12.0s cnf_sha=99630636de78
[128/150   551.5s] 0,1;0,2,3;0,4,3,1,5: verified [cadical] solve=3.0s lrat=68.1MB cake=9.0s cnf_sha=2acd7214dcd0
[129/150   554.3s] 0,1,2,3;1,5,4;0,4,2,3,5: verified [cadical] solve=1.5s lrat=41.2MB cake=10.51s cnf_sha=5ec26a595757
[130/150   559.9s] 0,3,2,1;0,2,4,5;0,2,1,4,5,3: verified [cadical] solve=1.0s lrat=15.9MB cake=7.0s cnf_sha=364c43c6531b
[131/150   573.0s] 0,3,2,1,4;0,2;1,4,5: verified [cadical] solve=13.51s lrat=299.7MB cake=17.51s cnf_sha=7dcd13579874
[132/150   577.8s] 0,1,2;0,4,5,1,3;2,3: verified [cadical] solve=8.51s lrat=147.5MB cake=14.51s cnf_sha=275c84982a52
[133/150   580.4s] 0,3,1,2;2,5,4;0,2,5: verified [cadical] solve=6.0s lrat=119.7MB cake=14.01s cnf_sha=69a044d09761
[134/150   581.8s] 0,3,4,1,2;4,5;0,5,3,1,4,2: verified [cadical] solve=1.0s lrat=17.4MB cake=7.5s cnf_sha=46932d8dfa14
[135/150   589.8s] 0,2,3,1,4;2,3,5;0,1,4: verified [cadical] solve=2.5s lrat=63.6MB cake=9.01s cnf_sha=fea928bc6406
[136/150   592.8s] 0,4,1,2,3;1,5,3;1,5,4,2: verified [cadical] solve=1.5s lrat=39.0MB cake=10.5s cnf_sha=e553efc1359b
[137/150   593.2s] 0,2,1,3,4,5;2,4;0,2,1,5,3,4: verified [cadical] solve=1.0s lrat=15.3MB cake=10.0s cnf_sha=276ea63b66ba
[138/150   597.6s] 0,2,5,3,1,4;4,5;stop: verified [cadical] solve=1.0s lrat=15.2MB cake=6.5s cnf_sha=0d9b95240804
[139/150   601.3s] 0,1;0,2,3,1,4;0,1,2,5,3: verified [cadical] solve=1.0s lrat=16.8MB cake=6.51s cnf_sha=eb9471c24792
[140/150   602.3s] 0,2,3,4,1;0,3,5;0,4,1: verified [cadical] solve=2.0s lrat=54.7MB cake=7.0s cnf_sha=a2cd9efefaea
[141/150   608.1s] 0,2,4,5,3,1;1,2;1,4,3: verified [cadical] solve=2.0s lrat=50.0MB cake=8.0s cnf_sha=6d379f086fb6
[142/150   611.1s] 0,3,1,2;2,3,4,5;0,1,5,2,4: verified [cadical] solve=1.0s lrat=16.2MB cake=8.5s cnf_sha=61498a7b5abd
[143/150   612.1s] 0,3,4,5,1,2;1,3;0,1,4,3,2,5: verified [cadical] solve=1.0s lrat=15.3MB cake=8.5s cnf_sha=c6fee41fbe82
[144/150   615.9s] 0,1;0,5,2,3,4;0,5,4,1,2,3: verified [cadical] solve=1.0s lrat=16.2MB cake=6.51s cnf_sha=31b9f2cc0f04
[145/150   618.9s] 0,1;0,5,2,3,4;0,5,2,3,4,1: verified [cadical] solve=1.0s lrat=16.5MB cake=6.5s cnf_sha=b4373a586445
[146/150   620.5s] 0,1,3,2;2,4;0,2,1,3,4,5: verified [cadical] solve=1.0s lrat=34.8MB cake=7.0s cnf_sha=7adfbeffa9b7
[147/150   625.3s] 0,2,1,4,3;0,5;0,1,5,2: verified [cadical] solve=2.0s lrat=44.0MB cake=7.0s cnf_sha=cab90ba3d1f0
[148/150   627.7s] 0,1,4,3,2;0,1,5;0,4,1,2,5: verified [cadical] solve=1.0s lrat=15.5MB cake=7.5s cnf_sha=306b02ef0795
[149/150   628.9s] 0,2,1,4,3;0,5;stop: verified [cadical] solve=1.0s lrat=16.2MB cake=7.0s cnf_sha=3ba80519deb1
[150/150   632.8s] 0,5,1,2,3,4;0,3;0,1,2,4,3,5: verified [cadical] solve=1.0s lrat=15.1MB cake=6.0s cnf_sha=99bec2b823b4
done: 150 cubes in 633.0s wall
== depth3_probe.jsonl: 150 cubes  {'verified': 150}
   solve_s: median=1.5 max=18.5 mean=2.7 sum=410.2
   verified 150 {'cadical': 150}: DRAT median=0.0MB max=0.0MB  LRAT median=36.6MB max=338.4MB  cake_lpr median=8.5s max=20.5s
