root cubes at depth 2 (rule (a) only): open=25339 short(stop)=154 total=25493
to run: 25493 cubes (0 already journaled; skipped {}; retry=['error'])
solver: cadical /Users/jiaruixu/work_space/smp-max/cadical-src/build/cadical (Version 3.0.1 c60730422e758ef1cebe7aeddf2dda31c996bf04)
base formula: 84882 vars, 2709212 clauses, 48.7 MB, sha256 28421fb68b0f494b..., built in 1.9s
journal header written: base_sha256=28421fb68b0f494b99d1918aa64cff248443161dc7a6c220e0c3e895a67df59b solver=cadical (Version 3.0.1 c60730422e758ef1cebe7aeddf2dda31c996bf04)
[37/25493    96.5s] 0,1,4,2,3;0,5,2,1,4: verified [cadical] solve=4.03s lrat=133.5MB cake=3.95s cnf_sha=1e932243120c
[38/25493    97.9s] 0,4,2,1,3,5;2,5,4,3: verified [cadical] solve=5.11s lrat=194.0MB cake=5.12s cnf_sha=cd7d32de3ded
[39/25493    98.6s] 0,2,1,5,4,3;1,5,4,3,2: verified [cadical] solve=1.69s lrat=85.7MB cake=3.02s cnf_sha=5d13e13d9bc8
[40/25493   100.4s] 0,1,4,5,3,2;0,1,4,3,2: verified [cadical] solve=1.07s lrat=51.8MB cake=2.37s cnf_sha=7a4ccf60deae
[41/25493   101.8s] 0,3,5,4,1,2;0,1,3,2,5,4: verified [cadical] solve=0.68s lrat=40.2MB cake=2.19s cnf_sha=c4a69f8c564d
[42/25493   108.2s] 0,1,5,3,2,4;0,1,4,3: verified [cadical] solve=4.82s lrat=182.5MB cake=4.89s cnf_sha=937d846f9ce4
[43/25493   109.8s] 0,1,3,2,5,4;0,1,3,2: verified [cadical] solve=3.56s lrat=136.9MB cake=4.04s cnf_sha=3a5a41206c54
[44/25493   110.4s] 0,4,3,1,2;0,4,1,5,3: verified [cadical] solve=4.83s lrat=181.4MB cake=4.86s cnf_sha=e165ba9d06ce
[45/25493   112.9s] 0,1,4,2,5,3;1,5,4,3,2: verified [cadical] solve=1.37s lrat=85.1MB cake=3.01s cnf_sha=e57905fb0f45
[46/25493   120.2s] 0,5,1,4,2,3;1,3,5: verified [cadical] solve=14.52s lrat=509.4MB cake=11.96s cnf_sha=9178b5e6a6ff
[47/25493   120.4s] 0,5,4,2,1,3;0,4,1,3: verified [cadical] solve=4.67s lrat=187.7MB cake=4.94s cnf_sha=ab59d5457170
[48/25493   125.1s] 0,2,3,1,4,5;0,4,2,3,1: verified [cadical] solve=1.52s lrat=78.5MB cake=2.88s cnf_sha=2455f39cc1dd
[49/25493   160.3s] 0,5,3,4,1,2;0,1,2: verified [cadical] solve=13.76s lrat=545.3MB cake=20.74s cnf_sha=b19627b54de8
[50/25493   193.8s] 0,3,4,1,5,2;2,4: verified [cadical] solve=61.56s lrat=2022.3MB cake=73.1s cnf_sha=6cc0aa0af94d
[51/25493   200.1s] 0,1,2;0,3,1,2,4: verified [cadical] solve=29.51s lrat=1090.2MB cake=49.58s cnf_sha=462653aaa544
[52/25493   202.4s] 0,2,1,5,4,3;0,1,5: verified [cadical] solve=16.69s lrat=502.6MB cake=24.87s cnf_sha=4c2d069cc89d
[53/25493   208.0s] 0,1,5,3,4,2;0,5,4,1,3,2: verified [cadical] solve=0.7s lrat=38.8MB cake=4.61s cnf_sha=0f0eed6a34cb
[54/25493   216.0s] 0,5,4,3,1,2;0,3,2,4: verified [cadical] solve=3.08s lrat=145.2MB cake=12.39s cnf_sha=e63a7e9387b5
[55/25493   216.8s] 0,5,2,4,3,1;1,5,2,4,3: verified [cadical] solve=1.46s lrat=61.3MB cake=6.99s cnf_sha=9d1fb92a8fa1
[56/25493   217.4s] 0,1;0,4,1,5,2,3: verified [cadical] solve=38.87s lrat=1314.4MB cake=67.86s cnf_sha=25704b071637
[57/25493   223.1s] 0,1,4,5,3,2;0,4,3,1,2: verified [cadical] solve=1.11s lrat=53.7MB cake=4.77s cnf_sha=471b115b0ffa
[58/25493   223.7s] 0,3,4,1,5,2;0,3,2,4,1: verified [cadical] solve=1.26s lrat=67.6MB cake=6.02s cnf_sha=6eaa09ad8ed6
[59/25493   225.7s] 0,3,4,2,1;1,5,4: verified [cadical] solve=54.09s lrat=1934.2MB cake=91.83s cnf_sha=b8d25831124b
